date,newCasesByPublishDate
2020/2/24,4
2020/2/25,0
2020/2/26,0
2020/2/27,0
2020/2/28,6
2020/2/29,4
2020/3/1,12
2020/3/2,5
2020/3/3,11
2020/3/4,34
2020/3/5,29
2020/3/6,46
2020/3/7,46
2020/3/8,65
2020/3/9,50
2020/3/10,52
2020/3/11,83
2020/3/12,134
2020/3/13,207
2020/3/14,264
2020/3/15,330
2020/3/16,152
2020/3/17,407
2020/3/18,676
2020/3/19,643
2020/3/20,714
2020/3/21,1035
2020/3/22,665
2020/3/23,967
2020/3/24,1427
2020/3/25,1452
2020/3/26,2129
2020/3/27,2890
2020/3/28,2556
2020/3/29,2502
2020/3/30,2665
2020/3/31,3250
2020/4/1,4567
2020/4/2,4522
2020/4/3,4672
2020/4/4,4000
2020/4/5,6199
2020/4/6,4143
2020/4/7,3888
2020/4/8,5865
2020/4/9,4675
2020/4/10,5706
2020/4/11,5234
2020/4/12,5288
2020/4/13,4342
2020/4/14,5252
2020/4/15,4605
2020/4/16,4618
2020/4/17,5599
2020/4/18,5526
2020/4/19,5850
2020/4/20,4676
2020/4/21,4301
2020/4/22,4451
2020/4/23,4583
2020/4/24,5386
2020/4/25,4913
2020/4/26,4463
2020/4/27,4310
2020/4/28,3996
2020/4/29,4076
2020/4/30,6032
2020/5/1,6201
2020/5/2,4806
2020/5/3,4339
2020/5/4,3985
2020/5/5,4406
2020/5/6,6111
2020/5/7,5614
2020/5/8,4649
2020/5/9,3896
2020/5/10,3923
2020/5/11,3877
2020/5/12,3403
2020/5/13,3242
2020/5/14,3446
2020/5/15,3560
2020/5/16,3451
2020/5/17,3562
2020/5/18,2684
2020/5/19,2412
2020/5/20,2472
2020/5/21,2615
2020/5/22,3287
2020/5/23,2959
2020/5/24,2409
2020/5/25,1625
2020/5/26,2004
2020/5/27,2013
2020/5/28,1887
2020/5/29,2095
2020/5/30,2445
2020/5/31,1936
2020/6/1,1570
2020/6/2,1613
2020/6/3,1871
2020/6/4,1805
2020/6/5,1650
2020/6/6,1557
2020/6/7,1326
2020/6/8,1205
2020/6/9,1387
2020/6/10,1003
2020/6/11,1266
2020/6/12,1541
2020/6/13,1425
2020/6/14,1514
2020/6/15,1056
2020/6/16,1279
2020/6/17,1115
2020/6/18,1218
2020/6/19,1346
2020/6/20,1295
2020/6/21,1221
2020/6/22,958
2020/6/23,874
2020/6/24,653
2020/6/25,1118
2020/6/26,1006
2020/6/27,890
2020/6/28,901
2020/6/29,815
2020/6/30,689
2020/7/1,829
2020/7/2,576
2020/7/3,544
2020/7/4,624
2020/7/5,516
2020/7/6,343
2020/7/7,581
2020/7/8,630
2020/7/9,642
